id,name,coordinates_x,coordinates_y,creationDate,minimalPoint,difficulty,author_name,author_birthday,author_height,author_passportID
593821890,LabWork1,0,0,2024-02-01T10:15:30Z,5.0,EASY,,,,
965513532,LabWork2,1,2,2024-02-01T10:15:30Z,7.5,NORMAL,Jane Smith,1985-10-20,165,CD2345678
544671607,LabWork3,3,4,2024-02-01T10:15:30Z,9.0,VERY_HARD,Alice Johnson,1992-03-12,175,EF3456789
1418837753,LabWork4,5,6,2024-02-01T10:15:30Z,3.0,IMPOSSIBLE,Bob Brown,1988-07-28,170,GH4567890
1262493738,LabWork5,7,8,2024-02-01T10:15:30Z,6.5,INSANE,Eve Williams,1995-11-04,160,IJ5678901
532068337,LabWork6,9,10,2024-02-01T10:15:30Z,8.0,EASY,John Doe,1990-05-15,180,AB1234567
548785909,LabWork7,11,12,2024-02-01T10:15:30Z,4.5,NORMAL,Jane Smith,1985-10-20,165,CD2345678
177298081,LabWork8,13,14,2024-02-01T10:15:30Z,10.0,VERY_HARD,Alice Johnson,1992-03-12,175,EF3456789
898630264,LabWork9,15,16,2024-02-01T10:15:30Z,2.0,IMPOSSIBLE,Bob Brown,1988-07-28,170,GH4567890
385025832,LabWork10,17,18,2024-02-01T10:15:30Z,7.0,INSANE,Eve Williams,1995-11-04,160,IJ5678901
