id,name,coordinates_x,coordinates_y,creationDate,minimalPoint,difficulty,author_name,author_birthday,author_height,author_passportID
459767804,LabWork2,1,2.0,2024-02-01T10:15:30Z,7.5,NORMAL,Jane Smith,Sun Oct 20 00:00:00 MSK 1985,165,CD2345678
1302730750,LabWork3,3,4.0,2024-02-01T10:15:30Z,9.0,VERY_HARD,Alice Johnson,Thu Mar 12 00:00:00 MSK 1992,175,EF3456789
551835826,LabWork4,5,6.0,2024-02-01T10:15:30Z,3.0,IMPOSSIBLE,Bob Brown,Thu Jul 28 00:00:00 MSD 1988,170,GH4567890
661837746,LabWork5,7,8.0,2024-02-01T10:15:30Z,6.5,INSANE,Eve Williams,Sat Nov 04 00:00:00 MSK 1995,160,IJ5678901
1513240330,LabWork6,9,10.0,2024-02-01T10:15:30Z,8.0,EASY,John Doe,Tue May 15 00:00:00 MSD 1990,180,AB1234567
913021661,LabWork7,11,12.0,2024-02-01T10:15:30Z,4.5,NORMAL,Jane Smith,Sun Oct 20 00:00:00 MSK 1985,165,CD2345678
550731001,LabWork8,13,14.0,2024-02-01T10:15:30Z,10.0,VERY_HARD,Alice Johnson,Thu Mar 12 00:00:00 MSK 1992,175,EF3456789
1346811086,LabWork9,15,16.0,2024-02-01T10:15:30Z,2.0,IMPOSSIBLE,Bob Brown,Thu Jul 28 00:00:00 MSD 1988,170,GH4567890
522587663,LabWork10,17,18.0,2024-02-01T10:15:30Z,7.0,INSANE,Eve Williams,Sat Nov 04 00:00:00 MSK 1995,160,IJ5678901
684821056,asd,1,1.0,2024-02-04T19:40:20.287777+03:00[Europe/Moscow],1.0,EASY
1465766303,asd,1,1.0,2024-02-04T19:41:03.414752+03:00[Europe/Moscow],1.0,EASY,asd,Tue Oct 10 00:00:00 MSK 1950,123,123
1063861263,asd,1,1.0,2024-02-16T13:51:44.133445+03:00[Europe/Moscow],1.0,IMPOSSIBLE,as,Thu Oct 10 00:00:00 MSK 1000,123,123
